Player,Position,Date of Birth,Age,Caps,Team,Year
Alex Goode,Fullback,1988-05-07,24,6,England,2013
Guilhem Guirado,Hooker,1986-06-17,26,15,France,2013
Benjamin Kayser,Hooker,1984-07-26,28,12,France,2013
Dimitri Szarzewski,Hooker,1983-01-26,30,66,France,2013
David Attoub,Prop,1981-06-07,31,4,France,2013
Vincent Debaty,Prop,1981-10-02,31,11,France,2013
Thomas Domingo,Prop,1985-08-20,27,21,France,2013
Luc Ducalcon,Prop,1984-01-02,29,10,France,2013
Yannick Forestier,Prop,1982-01-03,31,3,France,2013
Nicolas Mas,Prop,1980-05-23,32,56,France,2013
Yoann Maestri,Lock,1988-01-14,25,9,France,2013
Pascal Papé (c),Lock,1980-10-05,32,45,France,2013
Jocelino Suta,Lock,1982-11-18,30,3,France,2013
Romain Taofifénua,Lock,1990-09-14,22,1,France,2013
Thierry Dusautoir,Flanker,1981-11-18,31,54,France,2013
Wenceslas Lauret,Flanker,1989-03-28,23,3,France,2013
Yannick Nyanga,Flanker,1983-12-19,29,28,France,2013
Fulgence Ouedraogo,Flanker,1986-07-21,26,30,France,2013
Damien Chouly,Number 8,1985-11-27,27,7,France,2013
Louis Picamoles,Number 8,1986-02-05,26,31,France,2013
Maxime Machenaud,Scrum-half,1988-12-30,24,4,France,2013
Morgan Parra,Scrum-half,1988-11-15,24,46,France,2013
Frédérick Michalak,Fly-half,1982-10-16,30,59,France,2013
François Trinh-Duc,Fly-half,1986-11-11,26,44,France,2013
Mathieu Bastareaud,Centre,1988-09-17,24,9,France,2013
Gaël Fickou,Centre,1994-03-26,18,0,France,2013
Florian Fritz,Centre,1984-01-17,29,25,France,2013
Maxime Mermoz,Centre,1986-07-28,26,22,France,2013
Jean-Marcellin Buttin,Wing,1991-12-16,21,2,France,2013
Vincent Clerc,Wing,1981-05-07,31,64,France,2013
Benjamin Fall,Wing,1989-03-03,23,3,France,2013
Wesley Fofana,Wing,1988-01-20,25,10,France,2013
Adrien Planté*,Wing,1985-04-02,37,0,France,2013
Hugo Bonneval*,Fullback,1990-11-19,31,0,France,2013
Brice Dulin,Fullback,1990-04-13,22,5,France,2013
Yoann Huget,Fullback,1987-06-02,25,12,France,2013
Rory Best,Hooker,1982-08-15,40,62,Ireland,2013
Seán Cronin,Hooker,1986-05-06,36,23,Ireland,2013
Mike Sherry,Hooker,1988-06-18,34,0,Ireland,2013
Stephen Archer*,Prop,1988-01-29,34,0,Ireland,2013
Michael Bent,Prop,1986-04-25,36,2,Ireland,2013
Tom Court,Prop,1980-11-06,41,29,Ireland,2013
Declan Fitzpatrick,Prop,1983-07-12,39,2,Ireland,2013
Cian Healy,Prop,1987-10-07,34,35,Ireland,2013
Dave Kilcoyne,Prop,1988-12-14,33,2,Ireland,2013
Mike Ross,Prop,1979-12-21,42,24,Ireland,2013
Mike McCarthy,Lock,1981-11-27,40,6,Ireland,2013
Donncha O'Callaghan,Lock,1979-03-24,43,90,Ireland,2013
Donnacha Ryan,Lock,1983-12-11,38,23,Ireland,2013
Devin Toner,Lock,1986-06-29,36,3,Ireland,2013
Iain Henderson,Flanker,1992-02-21,30,2,Ireland,2013
Chris Henry,Flanker,1984-10-17,37,4,Ireland,2013
Kevin McLaughlin,Flanker,1984-09-20,38,5,Ireland,2013
Seán O'Brien,Flanker,1987-02-14,35,22,Ireland,2013
Peter O'Mahony,Flanker,1989-09-17,33,9,Ireland,2013
Rhys Ruddock*,Flanker,1990-11-13,31,1,Ireland,2013
Jamie Heaslip (c),Number 8,1983-12-15,38,52,Ireland,2013
Conor Murray,Scrum-half,1989-04-20,33,14,Ireland,2013
Eoin Reddan,Scrum-half,1980-11-20,41,47,Ireland,2013
Paddy Jackson,Fly-half,1992-01-05,30,0,Ireland,2013
Ian Madigan*,Fly-half,1989-03-21,33,0,Ireland,2013
Ronan O'Gara,Fly-half,1977-03-07,45,126,Ireland,2013
Johnny Sexton,Fly-half,1985-07-11,37,34,Ireland,2013
Darren Cave*,Centre,1987-04-05,35,3,Ireland,2013
Gordon D'Arcy,Centre,1980-02-10,42,71,Ireland,2013
Keith Earls,Centre,1987-10-02,34,34,Ireland,2013
Fergus McFadden,Centre,1986-06-17,36,16,Ireland,2013
Dave McSharry,Centre,1990-07-10,32,0,Ireland,2013
Brian O'Driscoll,Centre,1979-01-21,43,120,Ireland,2013
Luke Fitzgerald,Wing,1987-09-13,35,23,Ireland,2013
Craig Gilroy,Wing,1991-03-11,31,1,Ireland,2013
Andrew Trimble*,Wing,1984-10-20,37,49,Ireland,2013
Simon Zebo,Wing,1990-03-16,32,3,Ireland,2013
Robbie Henshaw*,Fullback,1993-06-12,29,0,Ireland,2013
Rob Kearney,Fullback,1986-03-26,36,41,Ireland,2013
Leonardo Ghiraldini,Hooker,1984-12-26,28,48,Italy,2013
Davide Giazzon,Hooker,1986-01-16,27,5,Italy,2013
Martin Castrogiovanni,Prop,1981-10-21,31,91,Italy,2013
Lorenzo Cittadini,Prop,1982-12-17,30,16,Italy,2013
Alberto de Marchi,Prop,1986-03-13,26,4,Italy,2013
Andrea Lo Cicero,Prop,1976-05-07,36,98,Italy,2013
Michele Rizzo,Prop,1982-09-16,30,5,Italy,2013
Joshua Furno,Lock,1989-10-21,23,6,Italy,2013
Quintin Geldenhuys,Lock,1981-06-19,31,33,Italy,2013
Francesco Minto,Lock,1987-05-20,25,2,Italy,2013
Antonio Pavanello,Lock,1982-10-13,30,13,Italy,2013
Robert Barbieri,Flanker,1984-06-05,28,27,Italy,2013
Mauro Bergamasco*,Flanker,1979-05-01,43,93,Italy,2013
Paul Derbyshire,Flanker,1986-11-03,26,16,Italy,2013
Simone Favaro,Flanker,1988-11-07,24,16,Italy,2013
Alessandro Zanni,Flanker,1984-01-31,29,69,Italy,2013
Sergio Parisse (c),Number 8,1983-09-12,29,91,Italy,2013
Manoa Vosawai,Number 8,1983-08-12,29,10,Italy,2013
Tobias Botes,Scrum-half,1984-04-26,28,8,Italy,2013
Edoardo Gori,Scrum-half,1990-03-05,22,19,Italy,2013
Kris Burton,Fly-half,1980-08-04,32,18,Italy,2013
Luciano Orquera,Fly-half,1981-10-12,31,29,Italy,2013
Gonzalo Canale,Centre,1982-11-11,30,77,Italy,2013
Gonzalo García,Centre,1984-02-18,28,25,Italy,2013
Andrea Masi,Centre,1981-03-30,31,72,Italy,2013
Alberto Sgarbi,Centre,1986-11-26,26,23,Italy,2013
Tommaso Benvenuti,Wing,1990-12-12,22,23,Italy,2013
Tommaso Iannone,Wing,1990-09-16,22,1,Italy,2013
Giovanbattista Venditti,Wing,1990-03-27,22,9,Italy,2013
Paolo Buso,Fullback,1986-07-28,26,1,Italy,2013
Luke McLean,Fullback,1987-06-29,25,41,Italy,2013
Ross Ford,Hooker,1984-04-23,38,64,Scotland,2013
Dougie Hall,Hooker,1980-09-24,42,39,Scotland,2013
Pat MacArthur,Hooker,1987-04-27,35,0,Scotland,2013
Geoff Cross,Prop,1982-12-11,39,17,Scotland,2013
Alasdair Dickinson,Prop,1983-09-11,39,24,Scotland,2013
Ryan Grant,Prop,1985-10-08,36,5,Scotland,2013
Moray Low,Prop,1984-11-28,37,15,Scotland,2013
Euan Murray,Prop,1980-08-07,42,49,Scotland,2013
Grant Gilchrist,Lock,1990-08-09,32,0,Scotland,2013
Richie Gray,Lock,1989-08-24,33,27,Scotland,2013
Jim Hamilton,Lock,1982-11-17,39,41,Scotland,2013
Alastair Kellock,Lock,1981-06-14,41,47,Scotland,2013
Kelly Brown (c),Flanker,1982-06-08,40,52,Scotland,2013
David Denton,Flanker,1990-02-05,32,9,Scotland,2013
Chris Fusaro,Flanker,1989-07-21,33,10,Scotland,2013
Rob Harley,Flanker,1990-05-26,32,1,Scotland,2013
Alasdair Strokosch,Flanker,1983-02-21,39,30,Scotland,2013
Richie Vernon,Flanker,1987-07-07,35,15,Scotland,2013
Johnnie Beattie,Number 8,1985-11-21,36,16,Scotland,2013
Ryan Wilson,Number 8,1989-05-18,33,0,Scotland,2013
Sean Kennedy,Scrum-half,1991-04-24,31,0,Scotland,2013
Greig Laidlaw,Scrum-half,1985-10-12,36,13,Scotland,2013
Henry Pyrgos,Scrum-half,1989-07-09,33,3,Scotland,2013
Tom Heathcote,Fly-half,1992-02-11,30,1,Scotland,2013
Ruaridh Jackson,Fly-half,1988-02-12,34,15,Scotland,2013
Duncan Weir,Fly-half,1991-05-10,31,2,Scotland,2013
Alex Dunbar,Centre,1990-04-23,32,0,Scotland,2013
Max Evans,Centre,1983-09-28,38,32,Scotland,2013
Peter Horne,Centre,1989-10-05,32,0,Scotland,2013
Matt Scott,Centre,1990-09-30,31,7,Scotland,2013
Sean Lamont,Wing,1981-01-15,41,71,Scotland,2013
Sean Maitland,Wing,1988-09-14,34,0,Scotland,2013
Tommy Seymour,Wing,1988-07-01,34,0,Scotland,2013
Tim Visser,Wing,1987-05-29,35,5,Scotland,2013
Stuart Hogg,Fullback,1992-06-24,30,10,Scotland,2013
Peter Murchie,Fullback,1986-01-07,36,0,Scotland,2013
Richard Hibbard,Hooker,1983-12-13,38,19,Wales,2013
Ken Owens,Hooker,1987-01-03,35,10,Wales,2013
Matthew Rees,Hooker,1980-12-09,41,57,Wales,2013
Scott Andrews,Prop,1989-08-01,33,5,Wales,2013
Ryan Bevington,Prop,1988-12-09,33,8,Wales,2013
Paul James,Prop,1982-05-13,40,40,Wales,2013
Gethin Jenkins,Prop,1980-11-17,41,94,Wales,2013
Adam Jones,Prop,1981-03-08,41,83,Wales,2013
Craig Mitchell,Prop,1986-05-03,36,11,Wales,2013
Andrew Coombs,Lock,1984-10-27,37,0,Wales,2013
Ian Evans,Lock,1984-10-04,37,25,Wales,2013
Alun Wyn Jones*,Lock,1985-09-19,37,67,Wales,2013
James King,Lock,1990-07-24,32,0,Wales,2013
Ollie Kohn,Lock,1981-05-19,41,0,Wales,2013
Lou Reed,Lock,1987-09-10,35,2,Wales,2013
Ryan Jones,Flanker,1981-03-13,41,70,Wales,2013
Josh Navidi,Flanker,1990-12-30,31,0,Wales,2013
Aaron Shingler,Flanker,1987-08-07,35,4,Wales,2013
Justin Tipuric,Flanker,1989-08-06,33,10,Wales,2013
Josh Turnbull,Flanker,1988-03-12,34,5,Wales,2013
Sam Warburton (c),Flanker,1988-10-05,33,34,Wales,2013
Taulupe Faletau,Number 8,1990-11-12,31,21,Wales,2013
Andries Pretorius,Number 8,1985-09-26,37,0,Wales,2013
Tavis Knoyle,Scrum-half,1990-06-02,32,9,Wales,2013
Mike Phillips,Scrum-half,1982-08-29,40,72,Wales,2013
Lloyd Williams,Scrum-half,1989-11-30,32,2,Wales,2013
Dan Biggar,Fly-half,1989-10-16,32,11,Wales,2013
James Hook,Fly-half,1985-06-27,37,67,Wales,2013
Jonathan Davies,Centre,1988-04-05,34,31,Wales,2013
Jamie Roberts,Centre,1986-11-08,35,48,Wales,2013
Scott Williams,Centre,1990-10-10,31,16,Wales,2013
Alex Cuthbert,Wing,1990-04-05,32,13,Wales,2013
George North,Wing,1992-04-13,30,26,Wales,2013
Eli Walker,Wing,1992-05-28,30,0,Wales,2013
Lee Byrne,Fullback,1980-06-01,42,46,Wales,2013
Leigh Halfpenny,Fullback,1988-12-22,33,39,Wales,2013
Liam Williams,Fullback,1991-04-09,31,2,Wales,2013
Dylan Hartley,Hooker,1986-03-24,25,34,England,2012
Lee Mears,Hooker,1979-03-05,32,38,England,2012
Rob Webber,Hooker,1986-08-01,25,0,England,2012
Alex Corbisiero,Prop,1988-08-30,23,10,England,2012
Dan Cole,Prop,1987-05-09,24,23,England,2012
Joe Marler,Prop,1990-07-07,21,0,England,2012
Matt Stevens,Prop,1982-10-01,29,39,England,2012
David Wilson,Prop,1985-04-09,26,19,England,2012
Mouritz Botha,Lock,1982-01-29,30,1,England,2012
Courtney Lawes,Lock,1989-02-23,22,13,England,2012
Tom Palmer,Lock,1979-03-27,32,33,England,2012
Callum Clark,Flanker,1989-06-10,22,0,England,2012
Tom Croft,Flanker,1985-11-07,26,31,England,2012
Chris Robshaw,Flanker,1986-06-04,25,1,England,2012
Tom Wood,Flanker,1986-11-03,25,9,England,2012
Phil Dowson,Number 8,1981-10-01,30,0,England,2012
Ben Morgan,Number 8,1989-02-18,22,0,England,2012
Lee Dickson,Scrum-half,1985-03-29,26,0,England,2012
Joe Simpson,Scrum-half,1988-07-05,23,1,England,2012
Ben Youngs,Scrum-half,1989-09-05,22,17,England,2012
Toby Flood,Fly-half,1985-08-08,26,46,England,2012
Charlie Hodgson,Fly-half,1980-11-12,31,36,England,2012
Brad Barritt,Centre,1986-08-07,25,0,England,2012
Owen Farrell,Centre,1991-09-21,20,0,England,2012
Manu Tuilagi,Centre,1991-05-18,20,7,England,2012
Jordan Turner-Hall,Centre,1988-01-05,24,0,England,2012
Chris Ashton,Wing,1987-03-29,24,18,England,2012
Charlie Sharples,Wing,1989-08-17,22,1,England,2012
David Strettle,Wing,1983-07-23,28,7,England,2012
Mike Brown,Fullback,1985-09-04,26,3,England,2012
Ben Foden,Fullback,1985-07-22,26,22,England,2012
William Servat,Hooker,1978-02-09,33,44,France,2012
Dimitri Szarzewski,Hooker,1983-01-26,29,56,France,2012
David Attoub,Prop,1981-06-07,30,1,France,2012
Fabien Barcella,Prop,1983-10-27,28,20,France,2012
Vincent Debaty,Prop,1981-10-02,30,1,France,2012
Luc Ducalcon,Prop,1984-01-02,28,10,France,2012
Nicolas Mas,Prop,1980-05-23,31,49,France,2012
Jean-Baptiste Poux,Prop,1979-09-26,32,37,France,2012
Yoann Maestri,Lock,1988-01-14,24,0,France,2012
Lionel Nallet,Lock,1976-09-14,35,70,France,2012
Pascal Papé,Lock,1980-10-05,31,35,France,2012
Julien Pierre,Lock,1981-07-31,30,26,France,2012
Julien Bonnaire,Flanker,1978-09-20,33,70,France,2012
Thierry Dusautoir (c),Flanker,1981-11-18,30,49,France,2012
Yannick Nyanga,Flanker,1983-12-19,28,25,France,2012
Fulgence Ouedraogo,Flanker,1986-07-21,25,25,France,2012
Imanol Harinordoquy,Number 8,1980-02-20,31,77,France,2012
Louis Picamoles,Number 8,1986-02-05,25,21,France,2012
Morgan Parra,Scrum-half,1988-11-15,23,36,France,2012
Dimitri Yachvili,Scrum-half,1980-09-19,31,59,France,2012
Lionel Beauxis,Fly-half,1985-10-24,26,15,France,2012
François Trinh-Duc,Fly-half,1986-11-11,25,35,France,2012
Yann David,Centre,1988-04-15,23,4,France,2012
Wesley Fofana,Centre,1988-01-20,24,0,France,2012
Maxime Mermoz,Centre,1986-07-28,25,15,France,2012
Aurélien Rougerie,Centre,1980-09-26,31,71,France,2012
Vincent Clerc,Wing,1981-05-07,30,57,France,2012
Julien Malzieu,Wing,1983-05-04,28,16,France,2012
Alexis Palisson,Wing,1987-09-09,24,20,France,2012
Maxime Médard,Fullback,1986-11-16,25,28,France,2012
Clément Poitrenaud,Fullback,1982-05-20,29,44,France,2012
Rory Best,Hooker,1982-08-15,29,54,Ireland,2012
Seán Cronin,Hooker,1986-05-06,25,15,Ireland,2012
Tom Court,Prop,1980-11-06,31,24,Ireland,2012
Cian Healy,Prop,1987-10-07,24,25,Ireland,2012
Mike Ross,Prop,1979-12-21,32,15,Ireland,2012
Leo Cullen,Lock,1978-01-09,34,32,Ireland,2012
Donncha O'Callaghan,Lock,1979-03-24,32,80,Ireland,2012
Paul O'Connell (c),Lock,1979-10-20,32,82,Ireland,2012
Donnacha Ryan,Lock,1983-12-11,28,13,Ireland,2012
Stephen Ferris,Flanker,1985-08-02,26,30,Ireland,2012
Shane Jennings,Flanker,1981-07-08,30,12,Ireland,2012
Jamie Heaslip,Number 8,1983-12-15,28,43,Ireland,2012
Seán O'Brien,Number 8,1987-02-14,24,15,Ireland,2012
Conor Murray,Scrum-half,1989-04-20,22,6,Ireland,2012
Eoin Reddan,Scrum-half,1980-11-20,31,37,Ireland,2012
Ronan O'Gara,Fly-half,1977-03-07,34,116,Ireland,2012
Johnny Sexton,Fly-half,1985-07-11,26,24,Ireland,2012
Gordon D'Arcy,Centre,1980-02-10,31,63,Ireland,2012
Fergus McFadden,Centre,1986-06-17,25,6,Ireland,2012
Paddy Wallace,Centre,1979-08-27,32,29,Ireland,2012
Tommy Bowe,Wing,1984-02-22,27,44,Ireland,2012
Keith Earls,Wing,1987-10-02,24,26,Ireland,2012
Andrew Trimble,Wing,1984-10-20,27,41,Ireland,2012
Rob Kearney,Fullback,1986-03-26,25,33,Ireland,2012
Tommaso D'Apice,Hooker,1988-06-30,23,3,Italy,2012
Leonardo Ghiraldini,Hooker,1984-12-26,27,41,Italy,2012
Martin Castrogiovanni,Prop,1981-10-21,30,82,Italy,2012
Lorenzo Cittadini,Prop,1982-12-17,29,8,Italy,2012
Alberto de Marchi,Prop,1986-03-13,25,0,Italy,2012
Andrea Lo Cicero,Prop,1976-05-07,35,91,Italy,2012
Marco Bortolami,Lock,1980-06-12,31,88,Italy,2012
Quintin Geldenhuys,Lock,1981-06-19,30,25,Italy,2012
Antonio Pavanello,Lock,1982-10-13,29,5,Italy,2012
Corniel van Zyl,Lock,1979-01-27,33,6,Italy,2012
Mauro Bergamasco,Flanker,1979-05-01,32,88,Italy,2012
Paul Derbyshire,Flanker,1986-11-03,25,16,Italy,2012
Simone Favaro,Flanker,1988-11-07,23,6,Italy,2012
Alessandro Zanni,Flanker,1984-01-31,28,58,Italy,2012
Robert Barbieri,Number 8,1984-06-05,27,16,Italy,2012
Sergio Parisse (c),Number 8,1983-09-12,28,83,Italy,2012
Edoardo Gori,Scrum-half,1990-03-05,21,9,Italy,2012
Fabio Semenzato,Scrum-half,1986-05-06,25,8,Italy,2012
Kris Burton,Fly-half,1980-08-04,31,9,Italy,2012
Luciano Orquera,Fly-half,1981-10-12,30,27,Italy,2012
Gonzalo Canale,Centre,1982-11-11,29,72,Italy,2012
Luca Morisi,Centre,1991-02-22,20,0,Italy,2012
Roberto Quartaroli,Centre,1988-03-29,23,3,Italy,2012
Alberto Sgarbi,Centre,1986-11-26,25,14,Italy,2012
Tommaso Benvenuti,Wing,1990-12-12,21,12,Italy,2012
Angelo Esposito,Wing,1993-06-14,18,0,Italy,2012
Giulio Toniolatti,Wing,1984-01-15,28,8,Italy,2012
Giovanbattista Venditti,Wing,1990-03-27,21,0,Italy,2012
Andrea Masi,Fullback,1981-03-30,30,64,Italy,2012
Luke McLean,Fullback,1987-06-29,24,33,Italy,2012
Huw Bennett,Hooker,1983-06-11,28,49,Wales,2012
Ken Owens,Hooker,1987-01-03,25,1,Wales,2012
Matthew Rees,Hooker,1980-12-09,41,48,Wales,2012
Ryan Bevington,Prop,1988-12-09,23,7,Wales,2012
Gethin Jenkins,Prop,1980-11-17,31,83,Wales,2012
Adam Jones,Prop,1981-03-08,30,75,Wales,2012
Craig Mitchell,Prop,1986-05-03,25,11,Wales,2012
Paul James,Prop,1982-05-13,29,31,Wales,2012
Rhodri Jones,Prop,1991-12-23,20,0,Wales,2012
Rhys Gill,Prop,1986-10-30,25,1,Wales,2012
Bradley Davies,Lock,1987-01-09,25,32,Wales,2012
Ian Evans,Lock,1984-10-04,27,17,Wales,2012
Ryan Jones,Lock,1981-03-13,30,58,Wales,2012
Lou Reed,Lock,1987-09-10,24,0,Wales,2012
Dan Lydiate,Flanker,1987-12-18,24,20,Wales,2012
Justin Tipuric,Flanker,1989-08-06,22,2,Wales,2012
Sam Warburton (c),Flanker,1988-10-05,23,24,Wales,2012
Taulupe Faletau,Number 8,1990-11-12,21,11,Wales,2012
Andy Powell,Number 8,1981-08-23,30,22,Wales,2012
Mike Phillips,Scrum-half,1982-08-29,29,60,Wales,2012
Rhys Webb,Scrum-half,1988-12-09,23,0,Wales,2012
Lloyd Williams,Scrum-half,1989-11-30,22,5,Wales,2012
James Hook,Fly-half,1985-06-27,26,59,Wales,2012
Rhys Priestland,Fly-half,1987-01-09,25,9,Wales,2012
Ashley Beck,Centre,1990-04-15,21,0,Wales,2012
Jonathan Davies,Centre,1988-04-05,23,21,Wales,2012
Gavin Henson,Centre,1982-02-01,30,33,Wales,2012
Jamie Roberts,Centre,1986-11-08,25,39,Wales,2012
Scott Williams,Centre,1990-10-10,21,8,Wales,2012
George North,Wing,1992-04-13,19,16,Wales,2012
Alex Cuthbert,Wing,1990-04-05,21,1,Wales,2012
Harry Robinson,Wing,1993-04-16,18,0,Wales,2012
Lee Byrne,Fullback,1980-06-01,31,46,Wales,2012
Leigh Halfpenny,Fullback,1988-12-22,23,27,Wales,2012
Liam Williams,Fullback,1991-04-09,20,0,Wales,2012
Ross Ford (c),Hooker,1984-04-23,27,53,Scotland,2012
Dougie Hall,Hooker,1980-09-24,31,37,Scotland,2012
Scott Lawson,Hooker,1981-09-28,30,29,Scotland,2012
Geoff Cross,Prop,1982-12-11,29,8,Scotland,2012
Alasdair Dickinson,Prop,1983-09-11,28,24,Scotland,2012
Allan Jacobsen,Prop,1978-09-22,33,60,Scotland,2012
Ed Kalman,Prop,1982-12-07,29,0,Scotland,2012
Euan Murray,Prop,1980-08-07,31,41,Scotland,2012
Richie Gray,Lock,1989-08-24,22,16,Scotland,2012
Jim Hamilton,Lock,1982-11-17,29,34,Scotland,2012
Alastair Kellock,Lock,1981-06-14,30,36,Scotland,2012
Fraser McKenzie,Lock,1988-03-28,23,0,Scotland,2012
John Barclay,Flanker,1986-09-24,25,32,Scotland,2012
Kelly Brown,Flanker,1982-06-08,29,49,Scotland,2012
Rob Harley,Flanker,1990-05-26,21,0,Scotland,2012
Ross Rennie,Flanker,1986-03-29,25,11,Scotland,2012
Alasdair Strokosch,Flanker,1983-02-21,28,23,Scotland,2012
David Denton,Number 8,1990-02-05,21,1,Scotland,2012
Richie Vernon,Number 8,1987-07-07,24,15,Scotland,2012
Mike Blair,Scrum-half,1981-04-20,30,75,Scotland,2012
Chris Cusiter,Scrum-half,1982-06-13,29,55,Scotland,2012
Rory Lawson,Scrum-half,1981-03-12,30,30,Scotland,2012
Greig Laidlaw,Scrum-half,1985-10-12,26,2,Scotland,2012
Ruaridh Jackson,Fly-half,1988-02-12,23,11,Scotland,2012
Dan Parks,Fly-half,1978-05-26,33,66,Scotland,2012
Duncan Weir,Fly-half,1991-05-10,20,0,Scotland,2012
Joe Ansbro,Centre,1985-10-29,26,9,Scotland,2012
Nick De Luca,Centre,1984-02-01,28,29,Scotland,2012
Graeme Morrison,Centre,1982-10-17,29,32,Scotland,2012
Simon Danielli,Wing,1979-09-08,32,32,Scotland,2012
Max Evans,Wing,1983-09-28,28,24,Scotland,2012
Lee Jones,Wing,1988-06-28,23,0,Scotland,2012
Sean Lamont,Wing,1981-01-15,31,60,Scotland,2012
Stuart Hogg,Fullback,1992-06-24,19,0,Scotland,2012
Rory Lamont,Fullback,1982-10-10,29,26,Scotland,2012
George Chuter,Hooker,1976-07-09,34,24,England,2011
Dylan Hartley,Hooker,1986-03-24,24,23,England,2011
Steve Thompson,Hooker,1978-07-15,32,61,England,2011
Dan Cole,Prop,1987-05-09,23,11,England,2011
Alex Corbisiero,Prop,1988-08-30,22,0,England,2011
Paul Doran-Jones,Prop,1985-05-02,25,1,England,2011
Tim Payne,Prop,1979-04-29,31,22,England,2011
Andrew Sheridan,Prop,1979-11-01,31,36,England,2011
David Wilson,Prop,1985-04-09,25,15,England,2011
Louis Deacon,Lock,1980-10-07,30,18,England,2011
Courtney Lawes,Lock,1989-02-23,21,8,England,2011
Tom Palmer,Lock,1979-03-27,31,20,England,2011
Simon Shaw,Lock,1973-09-01,37,61,England,2011
George Skivington,Lock,1982-12-03,28,0,England,2011
Tom Croft,Flanker,1985-11-07,25,22,England,2011
Hendre Fourie,Flanker,1979-09-19,31,4,England,2011
James Haskell,Flanker,1985-04-02,25,29,England,2011
Lewis Moody (c),Flanker,1978-06-12,32,66,England,2011
Chris Robshaw,Flanker,1986-06-04,24,1,England,2011
Tom Wood,Flanker,1986-11-03,24,0,England,2011
Joe Worsley,Flanker,1977-06-14,33,77,England,2011
Phil Dowson,Number 8,1981-10-01,29,0,England,2011
Nick Easter,Number 8,1978-08-15,32,38,England,2011
Danny Care,Scrum-half,1987-01-02,24,25,England,2011
Joe Simpson,Scrum-half,1988-07-05,22,0,England,2011
Ben Youngs,Scrum-half,1989-09-05,21,7,England,2011
Toby Flood,Fly-half,1985-08-08,25,35,England,2011
Charlie Hodgson,Fly-half,1980-11-12,30,34,England,2011
Jonny Wilkinson,Fly-half,1979-05-25,31,80,England,2011
Riki Flutey,Centre,1980-02-10,30,13,England,2011
Shontayne Hape,Centre,1981-01-30,30,6,England,2011
Mike Tindall,Centre,1978-10-18,32,66,England,2011
Chris Ashton,Wing,1987-03-29,23,7,England,2011
Matt Banahan,Wing,1986-12-30,24,7,England,2011
Mark Cueto,Wing,1979-12-26,31,45,England,2011
James Simpson-Daniel,Wing,1982-05-30,28,10,England,2011
David Strettle,Wing,1983-07-23,27,6,England,2011
Nick Abendanon,Fullback,1986-08-27,24,2,England,2011
Ben Foden,Fullback,1985-07-22,25,10,England,2011
Guilhem Guirado,Hooker,1986-06-17,24,6,France,2011
William Servat,Hooker,1978-02-09,32,32,France,2011
Luc Ducalcon,Prop,1984-01-02,27,3,France,2011
Thomas Domingo,Prop,1985-08-20,25,13,France,2011
Sylvain Marconnet,Prop,1976-04-08,34,80,France,2011
Nicolas Mas,Prop,1980-05-23,30,39,France,2011
Lionel Nallet,Lock,1976-09-14,34,57,France,2011
Jérôme Thion,Lock,1977-12-02,33,50,France,2011
Pascal Papé,Lock,1980-10-05,30,26,France,2011
Julien Pierre,Lock,1981-07-31,29,12,France,2011
Julien Bonnaire,Flanker,1978-09-20,32,56,France,2011
Thierry Dusautoir (c),Flanker,1981-11-18,29,37,France,2011
Alexandre Lapandry,Flanker,1989-04-13,21,5,France,2011
Fulgence Ouedraogo,Flanker,1986-07-21,24,22,France,2011
Sébastien Chabal,Number 8,1977-12-08,33,58,France,2011
Imanol Harinordoquy,Number 8,1980-02-20,30,64,France,2011
Morgan Parra,Scrum-half,1988-11-15,22,22,France,2011
Dimitri Yachvili,Scrum-half,1980-09-19,30,47,France,2011
David Skrela,Fly-half,1979-03-02,31,20,France,2011
François Trinh-Duc,Fly-half,1986-11-11,24,22,France,2011
Yannick Jauzion,Centre,1978-07-28,32,70,France,2011
David Marty,Centre,1982-10-30,28,32,France,2011
Maxime Mermoz,Centre,1986-07-28,24,7,France,2011
Aurélien Rougerie,Centre,1980-09-26,30,59,France,2011
Damien Traille,Centre,1979-06-12,31,77,France,2011
Vincent Clerc,Wing,1981-05-07,29,43,France,2011
Yoann Huget,Wing,1987-06-02,23,2,France,2011
Maxime Médard,Wing,1986-11-16,24,15,France,2011
Alexis Palisson,Fullback,1987-09-09,23,12,France,2011
Clément Poitrenaud,Fullback,1982-05-20,28,41,France,2011
Rory Best,Hooker,1982-08-15,28,42,Ireland,2011
Sean Cronin,Hooker,1986-05-06,24,7,Ireland,2011
Jerry Flannery,Hooker,1978-10-17,32,36,Ireland,2011
Tony Buckley,Prop,1980-08-08,30,21,Ireland,2011
Tom Court,Prop,1980-11-06,30,13,Ireland,2011
John Hayes,Prop,1973-11-02,37,104,Ireland,2011
Cian Healy,Prop,1987-10-07,23,13,Ireland,2011
Mike Ross,Prop,1979-12-21,31,2,Ireland,2011
Brett Wilkinson,Prop,1983-11-29,27,0,Ireland,2011
Leo Cullen,Lock,1978-01-09,33,24,Ireland,2011
Mike McCarthy,Lock,1981-11-27,29,0,Ireland,2011
Donncha O'Callaghan,Lock,1979-03-24,31,67,Ireland,2011
Paul O'Connell (vc),Lock,1979-10-20,31,76,Ireland,2011
Mick O'Driscoll,Lock,1978-10-08,32,22,Ireland,2011
Donnacha Ryan,Lock,1983-12-11,27,7,Ireland,2011
